kone kånnå
konstant mengång
korn kånnj
koss hvordan
krabbe firafotåm
kraftig floing
krangle krangle
krangler krangle
krams klemme
krible kriljt
krok krå
krut-tynnj hissigpropp
kul hukkukuln
kurrij fyllesyk
kusma kjinnjtask
kusma porksøtta
kuvennjing rask
kvaks veps
kvalm spyolen
kvarsen hver
kveles stroffn
kvern kvennj
kvae ko
kåbbklys brennmanet
kåffår hvorfor
kåkkeler lage
kålles hvordan
kåmmå komme
kångro edderkopp
kånnå kone
kånnj korn
kånsti pussig
kånsti rart
kåt gra
lage kåkkeler
langfotkallj stankelbein
langfotkallj stankelben
lapper sjeblakak
late læss
læss late
laudan lørdagen
lauget badet
lausmaga diaré
lausmaga diare
laup farte
laurdag lørdag
le rei
le le
lealaus slapp
lealaus smidig
leke leike
leker leike
leike leke
leike leikety
leik basse
leikety leike
ler flire
lese låsså
lettvint jessvinjt
lettvint vinnjle
levær mildvær
leve låvvå
ligge pork
ligne sjyss
liker like
likte likt
likt liktorn
liktå liktorn
lille likje
liten litn
liten lusk
litn liten
litn liten
litterannj noe
lodden lødde
loe tøv
lottoby værdaln
love låvvå
ludder fettsjur
lue huv
lugg sokk
luggum real
lunell lyn
lunelle lynet
luring fettkjærring
lushårv luskam
luskam lushårv
lusing ørefik
lyktestolpe lysstaur
lyktestolpen lysstaurin
lyn lunell
lynet lunelle
lysstaur lyktestolpe
lysstaurin lyktestolpen
læmster stiv
læne artig
læss late
læt lukke
lødde lodden
lørvåt filete
låsså lese
låvvå leve
låvvå love
lørdag laurdag
lørdagen laudan
læll alikevel
læll alikevel
læll alikevel
læll alikevel
lære lære
lære lære
mager beinbær
mager skrinnjvole
mamma sjøla
mang mange
manger manker
mangsless forskjellig
manker mangler
mareritt murru
maroder uvel
matinnj sulten
maul spise
maul frotse
med me
meddag middag
mengång konstant
meg mæ
meskåmmåhau huske
mesfårrås misforstå
meslinger krægda
mettn midt
mett mitt
middag meddag
midt mettn
midtbygd mebøgd
midtskill beinråk
mildvær levær
millerti imens
millerti samtidig
minke tryt
minnj hukommelse
minska davra
minsket davra
misforstå mesfårrås
misunnelig avonnjsjuk
miste falmas
mjølkgryn melkesuppe
mjølkrampe trestativ
mugg møggel
murru mareritt
musikk d.d.e
muskus parfyme
mykkji meget
mykkji svært
mysost møssmør
møggel mugg
møln mølle
mølnar møller
mølle møln
møller mølnar
møssmør mysost
møsåskannj selskap
